Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Sea Level Pressure,Weather Type,Latitude,Longitude,Info
"John F. Kennedy International Airport, New York, United States",01/01/2017,35.9,51.2,44.6,21.2,40.84,18.3,,226.83,0,4.17,,10,1021.4,"",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/02/2017,34.1,43,39.9,30.5,69.93,13.9,36.7,53.75,0.3,62.5,,8.2,1030.3,"Mist, Light Drizzle, Light Rain",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/03/2017,41.1,46.1,44.2,39.8,84.53,18.4,32.2,94.38,0.5,62.5,,5.5,1011.3,"Mist, Light Drizzle, Rain, Heavy Rain, Light Rain",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/04/2017,37.1,55.1,45.6,30.8,61.12,28.8,41.3,267.5,0,20.83,,9.4,1000.1,"Light Rain",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/05/2017,29,35,32,7.5,35.27,27.6,43.6,261.25,0,12.5,,10,1013.5,"",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/06/2017,26.9,35,31.4,15.3,53.42,14.9,42.5,292,0,25,1.2,8.6,1018.3,"Light Snow, Mist",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/07/2017,21,26.9,23.5,10.9,60.86,24.1,34.4,226,0.2,50,7.9,4.7,1023.5,"Heavy Snow, Light Snow, Mist, Fog, Snow",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/08/2017,19.1,25.1,21.3,2.4,43.8,23,34.5,301.67,0,4.17,7.9,9.8,1027.1,"",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/09/2017,14.1,24.2,20.1,2.2,45.19,19.6,48.3,266,0,12.5,7.1,10,1039.5,"",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/10/2017,21.8,46.1,30.9,20.5,65.14,22.9,40.3,170.33,0,4.17,5.9,10,1034.2,"",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/11/2017,43.1,50.1,46.4,38.9,75.57,20.8,44.7,203.33,0.4,41.67,3.9,9.2,1025.2,"Mist, Rain, Light Rain",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/12/2017,46.1,59.1,51,44.8,79.68,16.1,35.6,187.96,0.2,20.83,,8.8,1018.8,"Mist, Light Rain",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/13/2017,34.1,57,47.3,28.1,49.89,26.3,35.6,297.92,0,4.17,,10,1029.3,"",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/14/2017,28.1,34.1,31.2,16.2,56.08,11.4,,103.08,0.1,33.33,2,7.1,1035.7,"Light Snow, Mist, Snow",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/15/2017,30.8,41.1,35.5,21.2,56.9,12.7,,319.58,0,4.17,2,10,1027.7,"",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/16/2017,28.2,42.2,35.7,21.7,56.82,10.3,45.9,228.3,0,25,,10,1030,"",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/17/2017,39.8,42.2,40.6,31.8,71.86,13.8,,153.25,0.6,54.17,,6.3,1021.7,"Mist, Rain, Light Rain, Smoke Or Haze",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/18/2017,39.8,42.2,41.4,36.8,83.63,13.9,,172.08,0.1,20.83,,7.5,1014.3,"Mist, Light Drizzle, Heavy Rain, Light Rain",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/19/2017,38.1,53.8,44.1,33,66.33,14.9,49.4,297.58,0,8.33,,10,1016.9,"",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/20/2017,42.2,46.1,43.2,32.3,67.29,10.3,,86.96,0.1,20.83,,9.5,1015.6,"Mist, Light Rain",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/21/2017,42.2,47,44.6,44.5,99.72,11.4,,234.39,0,0,,3.7,1011.5,"Mist, Fog, Smoke Or Haze",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/22/2017,43.1,52.9,47,45.8,95.55,24.1,33.3,98.29,0,8.33,,4.2,1007.3,"Mist, Fog, Light Rain, Smoke Or Haze",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/23/2017,38,47,41.8,36.2,80.63,33.3,47.2,52.5,0.7,37.5,,8.5,1007,"Mist, Rain, Light Rain",40.65009,-73.75436,""
"John F. Kennedy International Airport, New York, United States",01/24/2017,38,39.8,38.7,35.7,88.89,31,51.6,220.79,1.3,91.67,,5.4,994.2,"Mist, Light Drizzle, Rain, Heavy Rain, Light Rain, Smoke Or Haze",40.65009,-73.75436,""
