Period,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Sea Level Pressure,Latitude,Longitude
"Jan","nyc",16,64.2,38.9,28.8,68.93,27.7,56.5,208.1,5.1,23.09,7.1,8.5,1016.1,40.71455,-74.00714
"Feb","nyc",20,68.1,42,28.3,60.38,17.9,56.4,224.38,2.3,11,9.8,9.3,1014,40.71455,-74.00714
"Mar","nyc",16.9,66.9,40.3,24,55.97,29.6,56.4,207.66,3.7,17.61,7.1,9.2,1019.8,40.71455,-74.00714
"Apr","nyc",38,83.8,56,42.7,64.71,28.5,51.7,171.35,3.6,14.42,,9,1016.4,40.71455,-74.00714
"May","nyc",47,89.8,61.6,49.1,66.48,22.8,78.3,172.54,5.9,19.46,,9.3,1012.3,40.71455,-74.00714
"Jun","nyc",52.1,95,72.7,58.1,63.04,21.9,59.7,196.57,16.2,14.56,,9.6,1013.3,40.71455,-74.00714
"Jul","nyc",64.1,96,77.4,65.2,68.04,20.6,62.2,181.28,14.3,13.15,,9.7,1014.5,40.71455,-74.00714
"Aug","nyc",62.8,91,75.4,62.9,67.29,24.6,67.8,197.72,4.5,15.57,,9.8,1016.7,40.71455,-74.00714
"Sep","nyc",55.6,93.6,71.6,59.8,68.25,22.7,59.7,185.17,2,11.65,,9.8,1016.4,40.71455,-74.00714
"Oct","nyc",46.9,83.8,65.5,54.1,68.73,21.8,57.5,201.39,3,17.18,,9.8,1019.1,40.71455,-74.00714
"Nov","nyc",26.8,74.7,49.3,37,63.86,24.6,57.5,196.66,1.4,14.13,,9.9,1019.6,40.71455,-74.00714
"Dec","nyc",12.1,60.2,37.3,25.5,63.68,24,55.3,213.38,2.1,15.01,,9.7,1018,40.71455,-74.00714
