Pickup_Date,trip_distance_km,duration_seconds,avg_speed,pickup_hour,Minimum Temperature,Maximum Temperature,Temperature,tip_amount,PULocationID
2017-06-01,2.5749504000000005,696,13.318708965517246,12,16.61,26.56,21.44,2.0,236
2017-06-01,0.6437376000000001,209,11.088303157894739,14,16.61,26.56,21.44,1.0,142
2017-06-01,0.8529523200000001,223,13.769633865470853,9,16.61,26.56,21.44,1.06,107
2017-06-01,3.7014912,671,19.85896918032787,23,16.61,26.56,21.44,2.8,230
2017-06-01,1.81855872,1138,5.752909834797891,14,16.61,26.56,21.44,1.28,229
2017-06-01,9.8169984,925,38.20669647567568,11,16.61,26.56,21.44,4.06,170
2017-06-01,2.67151104,600,16.029066240000002,16,16.61,26.56,21.44,2.16,237
2017-06-01,5.954572800000001,2955,7.254301888324874,11,16.61,26.56,21.44,4.4,186
2017-06-01,3.20259456,1058,10.897297179584122,19,16.61,26.56,21.44,2.76,68
2017-06-01,3.7014912,767,17.37336156453716,1,16.61,26.56,21.44,3.05,148
2017-06-01,2.7358848,512,19.23669,18,16.61,26.56,21.44,1.95,151
2017-06-01,3.5405568000000005,1059,12.0358871388102,10,16.61,26.56,21.44,2.75,163
2017-06-01,0.57936384,1573,1.325943944055944,16,16.61,26.56,21.44,2.2,140
2017-06-01,8.09500032,1502,19.402131259653792,21,16.61,26.56,21.44,2.0,211
2017-06-01,1.1265408,555,7.307291675675675,18,16.61,26.56,21.44,1.0,186
2017-06-01,14.8059648,1091,48.855612538955086,4,16.61,26.56,21.44,7.0,25
2017-06-01,2.8968192000000004,681,15.313581674008812,20,16.61,26.56,21.44,2.15,68
2017-06-01,1.7702784000000003,555,11.48288691891892,18,16.61,26.56,21.44,1.7,234
2017-06-01,0.804672,194,14.932057731958764,19,16.61,26.56,21.44,1.05,264
2017-06-01,2.34964224,819,10.328097758241759,8,16.61,26.56,21.44,2.7,142
2017-06-01,1.51278336,292,18.650753753424656,0,16.61,26.56,21.44,1.36,161
2017-06-01,15.83594496,2508,22.731021473684212,15,16.61,26.56,21.44,5.0,138
2017-06-01,2.80025856,1417,7.114277216654906,18,16.61,26.56,21.44,4.08,229
2017-06-01,2.34964224,534,15.840284764044945,9,16.61,26.56,21.44,1.76,236
2017-06-01,1.19091456,348,12.319805793103448,9,16.61,26.56,21.44,1.26,237
2017-06-01,6.9201792,1208,20.623050596026488,10,16.61,26.56,21.44,2.74,138
2017-06-01,2.0921472000000003,717,10.50450476987448,13,16.61,26.56,21.44,1.96,186
2017-06-01,2.414016,1063,8.175406961429918,19,16.61,26.56,21.44,2.75,170
2017-06-01,3.15431424,965,11.767389910880828,8,16.61,26.56,21.44,1.84,236
2017-06-01,0.9173260799999999,159,20.769647094339618,5,16.61,26.56,21.44,1.06,162
2017-06-01,4.02336,1440,10.0584,14,16.61,26.56,21.44,3.35,43
2017-06-01,7.773131520000001,1244,22.494592823151127,7,16.61,26.56,21.44,10.0,238
2017-06-01,4.2647616,1082,14.189594972273568,16,16.61,26.56,21.44,1.0,238
2017-06-01,1.1265408,485,8.361952329896907,13,16.61,26.56,21.44,1.45,237
2017-06-01,1.5288768,459,11.991190588235293,20,16.61,26.56,21.44,1.66,262
2017-06-01,4.988966400000001,1506,11.925816095617533,13,16.61,26.56,21.44,2.67,107
2017-06-01,2.92900608,962,10.960937513513516,18,16.61,26.56,21.44,2.56,158
2017-06-01,1.06216704,222,17.22433037837838,4,16.61,26.56,21.44,1.16,231
2017-06-01,2.59104384,707,13.193433980198021,20,16.61,26.56,21.44,2.16,237
2017-06-01,3.7497715200000004,993,13.594337836858006,18,16.61,26.56,21.44,2.86,113
2017-06-01,13.775984640000003,2638,18.79967577862017,13,16.61,26.56,21.44,10.14,138
2017-06-01,2.4301094400000003,585,14.954519630769234,8,16.61,26.56,21.44,1.5,231
2017-06-01,27.64852992,3973,25.05278321469922,16,16.61,26.56,21.44,12.61,132
