Pickup_Date,trip_distance_km,duration_seconds,avg_speed,pickup_hour,Minimum Temperature,Maximum Temperature,Temperature,tip_amount,PULocationID
2017-01-01,2.8968192000000004,308,33.85892571428572,10,5.28,11.5,7.83,2.3,162
2017-01-01,2.0921472000000003,354,21.276073220338986,2,5.28,11.5,7.83,1.55,256
2017-01-01,4.988966400000001,787,22.82119318932656,22,5.28,11.5,7.83,2.75,125
2017-01-01,0.4828032,134,12.97083223880597,11,5.28,11.5,7.83,1.0,238
2017-01-01,4.715377920000001,1403,12.099330372059873,1,5.28,11.5,7.83,3.46,142
2017-01-01,0.804672,158,18.334298734177217,13,5.28,11.5,7.83,1.0,170
2017-01-01,3.7014912,569,23.418924991212656,15,5.28,11.5,7.83,2.05,164
2017-01-01,5.149900800000001,675,27.466137600000003,10,5.28,11.5,7.83,3.2,236
2017-01-01,8.368588800000001,1050,28.692304457142864,23,5.28,11.5,7.83,4.7,79
2017-01-01,2.8485388800000004,424,24.18570747169812,17,5.28,11.5,7.83,2.08,238
2017-01-01,27.407128320000005,1649,59.833633688295954,20,5.28,11.5,7.83,11.67,132
2017-01-01,2.0921472000000003,631,11.936180538827259,1,5.28,11.5,7.83,2.45,148
2017-01-01,5.520049920000001,933,21.299227987138266,2,5.28,11.5,7.83,2.0,162
2017-01-01,2.7358848,638,15.43759448275862,20,5.28,11.5,7.83,2.06,230
2017-01-01,1.86683904,333,20.182043675675672,19,5.28,11.5,7.83,1.46,79
2017-01-01,1.31966208,248,19.156385032258065,14,5.28,11.5,7.83,1.16,263
2017-01-01,3.3796224000000006,522,23.307740689655176,20,5.28,11.5,7.83,2.15,162
2017-01-01,2.5749504000000005,648,14.305280000000003,0,5.28,11.5,7.83,2.05,79
2017-01-01,4.16820096,562,26.700219672597864,3,5.28,11.5,7.83,2.36,231
2017-01-01,3.99117312,877,16.38337882782212,3,5.28,11.5,7.83,3.2,74
2017-01-01,2.414016,800,10.863071999999999,2,5.28,11.5,7.83,2.26,170
2017-01-01,1.6254374400000002,318,18.40117856603774,21,5.28,11.5,7.83,1.36,234
2017-01-01,1.4484096000000002,279,18.689156129032263,1,5.28,11.5,7.83,1.0,234
2017-01-01,1.4484096000000002,416,12.534313846153847,21,5.28,11.5,7.83,1.55,186
