Date,Minimum Temperature,Maximum Temperature,Temperature
2017-01-01,5.28,11.5,7.83
2017-01-02,4.0,5.61,4.78
2017-01-03,4.33,7.11,5.78
2017-01-04,2.17,11.61,7.11
2017-01-05,-2.17,1.61,-0.06
2017-01-06,-1.72,2.72,-0.17
2017-01-07,-5.0,-1.28,-3.39
2017-01-08,-7.17,0.44,-4.89
2017-01-09,-8.89,-3.44,-6.11
2017-01-10,-5.67,7.17,-0.28
2017-01-11,5.67,10.11,7.83
2017-01-12,7.83,17.89,13.56
2017-01-13,2.06,15.72,8.89
2017-01-14,-1.17,1.56,0.11
2017-01-15,-1.11,5.56,1.89
2017-01-16,-0.83,7.78,3.11
2017-01-17,3.39,5.0,4.28
2017-01-18,3.83,5.61,5.06
2017-01-19,4.39,10.0,6.39
2017-01-20,5.0,7.17,5.72
2017-01-21,5.67,7.89,6.78
2017-01-22,6.17,8.83,7.44
2017-01-23,2.61,7.11,4.94
2017-01-24,2.22,5.0,3.72
2017-01-25,3.33,11.5,7.06
2017-01-26,6.61,12.83,8.39
2017-01-27,2.89,6.44,5.11
2017-01-28,1.67,3.83,2.83
2017-01-29,1.67,8.22,3.89
2017-01-30,0.61,4.94,2.11
2017-01-31,-2.17,1.11,-0.44
2017-02-01,1.17,8.39,5.17
2017-02-02,1.61,7.17,4.11
2017-02-03,-2.17,2.11,-0.33
2017-02-04,-4.94,2.78,-1.17
2017-02-05,0.06,5.67,2.83
2017-02-06,3.33,10.0,5.89
2017-02-07,3.33,6.11,4.39
2017-02-08,4.33,17.72,9.06
2017-02-09,-6.22,6.67,-0.61
2017-02-10,-6.67,0.61,-2.61
2017-02-11,-0.67,7.89,4.17
2017-02-12,0.56,4.33,1.94
2017-02-13,0.06,4.28,2.39
2017-02-14,-1.17,6.06,1.89
2017-02-15,2.17,9.94,4.22
2017-02-16,-0.72,4.22,1.56
2017-02-17,-2.17,8.22,2.22
2017-02-18,1.72,16.67,9.11
2017-02-19,10.78,20.0,14.33
2017-02-20,6.11,14.22,9.72
2017-02-21,2.78,8.33,5.5
2017-02-22,5.67,13.83,8.72
2017-02-23,6.78,17.17,12.06
2017-02-24,12.22,20.06,15.89
2017-02-25,8.61,17.17,12.67
2017-02-26,2.89,7.83,5.22
2017-02-27,1.67,12.11,6.67
2017-02-28,7.22,14.94,10.5
2017-03-01,11.67,19.39,15.22
2017-03-02,3.33,15.78,9.22
2017-03-03,-2.22,5.56,1.72
2017-03-04,-6.22,0.56,-2.89
2017-03-05,-8.39,4.94,-2.33
2017-03-06,-1.22,7.11,2.67
2017-03-07,5.11,13.28,8.39
2017-03-08,8.83,15.06,12.72
2017-03-09,9.33,17.72,13.0
2017-03-10,-2.22,9.33,3.5
2017-03-11,-6.89,0.5,-3.22
2017-03-12,-5.72,1.0,-2.5
2017-03-13,-5.0,3.72,-1.39
2017-03-14,-4.33,1.56,-0.61
2017-03-15,-5.67,-1.28,-3.44
2017-03-16,-3.83,6.06,0.56
2017-03-17,-1.11,8.83,3.33
2017-03-18,2.11,3.39,2.78
2017-03-19,2.11,10.56,5.5
2017-03-20,1.61,12.72,6.5
2017-03-21,6.17,15.61,10.0
2017-03-22,-2.22,10.67,4.06
2017-03-23,-3.89,7.11,1.33
2017-03-24,1.72,12.22,6.89
2017-03-25,7.11,13.44,10.56
2017-03-26,3.83,6.61,5.06
2017-03-27,3.83,12.06,7.0
2017-03-28,5.61,8.78,6.67
2017-03-29,6.67,16.06,10.17
2017-03-30,4.33,10.61,6.94
2017-03-31,3.83,6.22,4.83
2017-04-01,3.33,9.28,6.17
2017-04-02,5.06,18.28,11.28
2017-04-03,7.94,15.72,11.61
2017-04-04,8.33,10.67,9.39
2017-04-05,7.17,16.67,10.17
2017-04-06,5.61,11.06,7.44
2017-04-07,5.67,10.11,7.83
2017-04-08,4.39,15.56,9.28
2017-04-09,6.67,18.39,12.11
2017-04-10,10.72,23.83,16.56
2017-04-11,14.44,25.11,18.94
2017-04-12,12.89,23.83,17.61
2017-04-13,9.39,18.83,13.83
2017-04-14,10.61,17.83,12.94
2017-04-15,9.44,16.67,12.94
2017-04-16,14.44,27.28,20.61
2017-04-17,16.17,22.83,19.5
2017-04-18,9.39,17.89,13.22
2017-04-19,7.83,10.67,9.22
2017-04-20,10.06,18.33,13.0
2017-04-21,9.33,13.22,10.89
2017-04-22,9.33,13.83,11.72
2017-04-23,8.83,17.83,12.22
2017-04-24,8.83,15.06,11.89
2017-04-25,10.0,12.83,11.5
2017-04-26,11.17,15.06,13.61
2017-04-27,13.39,20.06,15.83
2017-04-28,13.33,28.78,20.0
2017-04-29,16.78,28.39,22.83
2017-04-30,11.67,20.67,15.39
2017-05-01,9.72,22.06,15.56
2017-05-02,18.33,23.39,20.56
2017-05-03,13.83,19.28,16.56
2017-05-04,11.11,16.67,13.33
2017-05-05,11.61,15.67,13.33
2017-05-06,12.83,18.33,15.44
2017-05-07,10.06,13.28,11.72
2017-05-08,8.33,15.0,11.78
2017-05-09,9.33,17.11,12.78
2017-05-10,11.11,17.28,13.56
2017-05-11,11.06,16.61,13.06
2017-05-12,10.61,15.72,12.78
