Period,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Sea Level Pressure,Latitude,Longitude
"Week 1 (Jan)","NYC",6.1,31.5,18.6,7.4,62.17,11.1,49.4,259.19,0.3,12.43,,9.4,1021.7,40.71455,-74.00714
"Week 2 (Jan)","NYC",15.7,59.7,36.3,27.5,71.45,9.7,58.6,196.39,0.6,14.79,,9.4,1024.2,40.71455,-74.00714
"Week 3 (Jan)","NYC",19.9,51.8,34.4,22.8,64.28,10.4,39.1,180.09,0.1,8.88,,9.8,1022.5,40.71455,-74.00714
"Week 4 (Jan)","NYC",23.3,56.2,40.2,26.6,60.92,9.2,40.3,200.67,0.6,11.83,,8.8,1023.8,40.71455,-74.00714
"Week 5 (Jan)","NYC",17.4,46.1,32.5,21.7,65.28,11.4,48.3,215.05,1.1,21.89,,9.7,1019.5,40.71455,-74.00714
"Week 6 (Feb)","NYC",26,62.4,37.7,29,72.21,9.8,53.9,214.59,1.8,31.95,,9.2,1024.5,40.71455,-74.00714
"Week 7 (Feb)","NYC",28.4,57.9,41.5,31.3,68.99,6.8,53.9,209.55,0.3,23.08,,9.5,1024.4,40.71455,-74.00714
"Week 8 (Feb)","NYC",36.9,74.2,47.7,42.9,84.19,10.4,47.2,159.9,0.7,23.67,,8.9,1026.9,40.71455,-74.00714
"Week 9 (Feb)","NYC",33.6,62.1,44.2,30.8,61,11.1,51.7,209.81,2.6,24.26,,9.6,1015.1,40.71455,-74.00714
"Week 10 (Mar)","NYC",30.4,45.6,37.3,26,65.03,12.3,50.6,198.21,1.1,14.88,,9.6,1012.8,40.71455,-74.00714
"Week 11 (Mar)","NYC",28.6,47.7,37.4,21.7,55.6,11.6,48.9,237.05,0.3,12.43,,9.9,1007.9,40.71455,-74.00714
"Week 12 (Mar)","NYC",32.5,51.7,39.5,23.1,54.75,14.9,50.6,131.08,0.4,15.98,,9.2,1016.5,40.71455,-74.00714
