PUzoneID,num_pickup
1,153
2,2
3,10
4,16944
6,4
7,6548
8,82
9,9
10,914
11,14
12,1407
13,64792
14,122
15,8
16,34
17,1181
18,14
19,10
20,10
21,32
22,15
23,2
24,16343
25,5705
26,29
28,292
29,141
30,2
31,7
32,5
33,6668
34,163
35,51
36,961
37,1526
38,2
39,53
40,3705
41,15578
42,5057
43,69502
45,12401
47,20
48,174696
49,1818
50,53364
51,22
52,4009
53,15
54,354
55,56
56,201
57,26
58,1
59,1
60,23
61,1013
62,174
63,192
64,11
65,7320
66,2358
67,22
68,147481
69,79
70,584
71,38
72,45
73,5
74,11412
75,30979
76,97
77,32
78,27
79,209771
80,3259
81,5
82,772
83,310
84,1
85,65
86,2
87,52034
88,24448
89,296
90,127162
91,56
92,103
93,694
94,10
95,583
96,13
97,4592
98,23
100,107301
101,7
102,19
106,997
107,167004
108,75
111,7
112,3098
113,115052
114,95951
115,118
116,5093
117,7
118,1
119,51
120,15
121,17
122,2
123,73
124,30
125,41062
126,25
127,356
128,24
129,1333
130,373
131,20
132,135927
133,247
134,155
135,69
136,17
137,85131
138,160864
139,5
140,108954
141,145018
142,177519
143,68917
144,74262
145,4327
146,4744
147,16
148,97989
149,14
150,19
151,50831
152,3762
153,11
154,7
155,21
156,3
157,213
158,76539
159,81
160,47
161,230299
162,220870
163,155819
164,146269
165,31
166,28261
167,36
168,309
169,39
170,207218
171,15
172,4
173,68
174,21
175,12
176,1
177,81
178,47
179,2490
180,30
181,7076
182,7
183,2
184,2
185,19
186,204709
188,412
189,1736
190,239
191,17
192,33
193,1179
194,278
195,224
196,258
197,94
198,126
200,16
201,3
202,197
203,6
205,9
206,1
207,33
208,13
209,11461
210,51
211,54587
212,16
213,29
214,1
215,409
216,244
217,318
218,19
219,228
220,54
221,103
222,7
223,2618
224,20226
225,447
226,6966
227,41
228,506
229,119219
230,191230
231,124170
232,11568
233,81684
234,236797
235,30
236,233136
237,235351
238,120639
239,163414
240,5
241,16
242,29
243,792
244,4430
245,1
246,95598
247,668
248,15
249,149145
250,27
252,24
253,5
254,7
255,7735
256,6610
257,194
258,38
259,8
260,1897
261,31127
262,76429
263,113590
5,0
27,0
44,0
46,0
99,0
103,0
104,0
105,0
109,0
110,0
187,0
199,0
204,0
251,0
